date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Coal (Brown) -  GWh,Gas (Steam) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Coal (Brown) Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2024-02-12,-3.46,-128.59,28.39,561.44,5.85,36.08,2.64,78.63,148.66,49.85,143.47,35.80,19.82,12.50,99442.00,8804.30,662819.00,3333.00,22402.82,746.04,353.05,426170.00,95381419.00,4695029.00,42665653.32,1378951.00,54976831.00,47117915.00,9236019.00,52155088.00
2024-02-19,-3.81,-140.80,38.32,625.30,6.02,8.80,3.04,48.36,203.31,42.01,134.96,35.70,21.54,11.90,112675.00,12458.30,741209.00,3434.00,5818.47,777.27,51.85,-62132.00,28902454.00,857028.00,1047173.80,242399.00,4833770.00,8914254.00,1040831.00,1010920.00
2024-02-26,-4.20,-164.04,26.56,655.55,5.39,4.51,3.15,46.52,182.32,45.01,125.40,36.30,19.80,13.00,133935.00,8631.81,779706.00,3070.30,2754.89,848.14,51.93,-9740.00,32867073.00,677552.00,603281.21,304575.00,4108027.00,8485709.00,467324.00,69030.00
2024-03-04,-3.43,-135.65,24.47,646.89,6.54,12.49,2.80,73.83,170.59,49.55,140.26,37.20,22.21,12.10,109670.00,8345.40,767199.00,3728.00,8071.04,788.20,79.61,25105.00,46715300.00,1376074.00,2691541.78,444628.00,10238662.00,8567377.00,2016808.00,3749536.00
2024-03-11,-3.36,-143.75,32.47,621.47,2.41,9.84,2.66,64.99,205.62,35.21,102.44,35.00,21.76,14.70,110969.00,10642.90,739757.00,1374.00,5800.79,803.14,74.81,84563.60,45505719.00,396719.00,1336217.50,340529.00,6911824.00,12436527.00,1648883.00,3647197.00
2024-03-18,-3.45,-126.99,38.55,567.42,0.00,2.27,2.90,30.22,208.89,40.61,115.17,31.20,17.81,9.60,97984.00,11014.50,679123.00,0.00,1398.05,777.22,46.57,-42122.07,27018799.00,0.00,242209.48,241903.00,2661869.00,8789364.00,292945.00,-949090.00
2024-03-25,-3.47,-133.57,30.28,643.53,0.00,0.30,2.88,21.33,114.03,38.48,112.42,27.60,17.17,10.80,123464.00,9174.70,771865.00,0.00,206.76,934.47,52.62,-43812.00,34504587.00,0.00,33805.08,286902.00,2163736.00,5691107.00,263935.40,-1405588.00
2024-04-01,-4.15,-163.17,38.16,673.25,0.00,3.18,3.38,21.38,164.66,24.18,74.30,28.00,16.53,9.70,144174.00,8657.60,803899.00,0.00,1953.64,964.89,54.36,31754.30,37757881.00,0.00,384158.58,324918.00,2088711.00,6308376.00,457544.00,626868.00
2024-04-08,-5.36,-104.09,61.84,629.07,0.00,8.26,4.40,62.06,106.97,32.49,76.23,20.20,14.52,10.40,91911.00,18143.60,755894.00,0.00,4749.91,872.42,91.67,187169.90,56435283.00,0.00,1227561.00,655691.00,8374365.00,7164125.00,1287156.00,1946693.00
2024-04-15,-5.46,-62.01,81.29,584.72,2.97,8.42,4.61,43.32,109.37,33.85,78.47,19.90,14.03,8.60,53070.00,28259.00,701088.00,1694.90,5245.65,805.00,118.95,355374.00,67270801.00,608059.00,1695751.50,844541.00,7526534.00,10664257.00,2007602.00,3632088.00
2024-04-22,-5.73,-93.81,74.10,559.19,11.90,3.11,4.54,24.81,187.25,29.82,80.66,24.70,14.45,7.00,71672.00,26602.40,667758.00,6786.30,2064.18,772.52,86.87,64897.00,47975890.00,1956870.00,539233.20,735217.00,3907317.00,9820413.00,788055.00,-4730.00
2024-04-29,-6.02,-73.69,88.87,554.27,5.91,13.61,4.78,41.29,193.43,26.22,69.66,18.30,12.41,6.20,58530.00,29529.00,661023.00,3368.00,9108.20,733.39,118.45,385735.00,63295787.00,940115.00,2234362.00,780223.00,6454459.00,20281150.00,1591965.00,3972662.00
2024-05-06,-5.18,-108.38,43.25,715.78,4.36,33.17,4.48,43.54,95.93,24.88,64.62,19.50,13.60,8.60,101965.00,19538.00,851040.00,2486.00,19773.60,952.92,152.96,466947.00,105991114.00,609877.00,6370332.00,943891.00,8258615.00,12809200.00,2302583.00,4801214.00
2024-05-13,-5.37,-104.26,33.20,702.60,14.96,27.88,4.32,62.02,135.98,27.43,64.89,18.50,11.90,6.30,90099.00,12815.40,833612.00,8527.00,16844.00,891.37,126.94,345716.00,86332241.00,2981533.00,4992322.00,836546.00,11169699.00,12479135.00,1689851.00,2818540.00
2024-05-20,-5.23,-68.54,43.74,685.10,54.81,62.62,4.25,79.17,54.76,26.54,57.54,16.30,11.00,5.20,62159.00,19077.00,808424.00,31250.00,43141.00,887.46,205.72,789424.00,135987952.00,12190488.00,14753430.00,1032152.00,17886413.00,9933591.00,4414228.00,8751840.00
2024-05-27,-5.66,-149.85,26.89,647.63,10.74,29.47,4.41,36.61,289.33,25.43,58.61,20.30,13.21,5.40,108647.00,8626.40,767845.00,6121.00,19963.21,815.46,90.87,194336.00,61143532.00,1865822.00,5250797.01,652494.00,6264287.00,13394961.00,1350279.00,2125665.00
2024-06-03,-5.29,-84.66,56.12,724.52,10.59,69.08,4.38,66.75,106.30,22.26,39.55,16.50,11.45,7.30,76140.00,22803.00,860112.00,6039.00,48081.00,905.54,165.22,680483.00,116188838.00,1717836.00,13865104.00,862353.00,12474613.00,14506692.00,3029739.00,5262940.00
2024-06-10,-6.25,-106.27,47.19,681.56,24.03,64.95,5.29,53.48,212.39,16.57,42.64,16.70,10.41,4.10,82358.00,13116.50,807436.00,13698.00,44119.40,835.53,153.14,495966.00,99622255.00,6136932.00,15634890.00,1057837.00,12416278.00,17977185.00,1360085.00,3754780.00
